No.,Time (s),Cumulative Volume (mL),Individual Volume (per 5 s),Average Individual Volume (per 5 s),Actual Flux,,Membrane Pore Size
0,0,0,0,0,0.048331134,,0.93
1,5,0.42,0.42,0.42,0.021826964,,
2,10,1.25,0.83,0.83,0.043134238,,
3,15,2.12,0.87,0.768,0.039912162,,
4,20,2.99,0.87,0.858,0.044589369,,
5,25,3.84,0.85,0.864,0.044901182,,
6,30,4.71,0.87,0.86,0.044693306,,
7,35,5.57,0.86,0.856,0.044485431,,
8,40,6.42,0.85,0.858,0.044589369,,
9,45,7.27,0.85,0.848,0.044069679,,
10,50,8.13,0.86,0.846,0.043965741,,
11,55,8.95,0.82,0.844,0.043861803,,
12,60,9.8,0.85,0.842,0.043757865,,
13,65,10.64,0.84,0.838,0.043549989,,
14,70,11.48,0.84,0.842,0.043757865,,
15,75,12.32,0.84,0.84,0.043653927,,
16,80,13.16,0.84,0.84,0.043653927,,
17,85,14,0.84,0.838,0.043549989,,
18,90,14.84,0.84,0.83,0.043134238,,
19,95,15.67,0.83,0.828,0.0430303,,
20,100,16.47,0.8,0.826,0.042926362,,
21,105,17.3,0.83,0.824,0.042822424,,
22,110,18.13,0.83,0.824,0.042822424,,
23,115,18.96,0.83,0.828,0.0430303,,
24,120,19.79,0.83,0.826,0.042926362,,
25,125,20.61,0.82,0.824,0.042822424,,
26,130,21.43,0.82,0.82,0.042614548,,
27,135,22.25,0.82,0.814,0.042302734,,
28,140,23.06,0.81,0.814,0.042302734,,
29,145,23.86,0.8,0.808,0.04199092,,
30,150,24.68,0.82,0.806,0.041886983,,
31,155,25.47,0.79,0.802,0.041679107,,
32,160,26.28,0.81,0.802,0.041679107,,
33,165,27.07,0.79,0.796,0.041367293,,
34,170,27.87,0.8,0.796,0.041367293,,
35,175,28.66,0.79,0.792,0.041159417,,
36,180,29.45,0.79,0.788,0.040951541,,
37,185,30.24,0.79,0.784,0.040743665,,
38,190,31.01,0.77,0.782,0.040639728,,
39,195,31.79,0.78,0.782,0.040639728,,
40,200,32.57,0.78,0.782,0.040639728,,
41,205,33.36,0.79,0.782,0.040639728,,
42,210,34.15,0.79,0.782,0.040639728,,
43,215,34.92,0.77,0.782,0.040639728,,
44,220,35.7,0.78,0.778,0.040431852,,
45,225,36.48,0.78,0.772,0.040120038,,
46,230,37.25,0.77,0.774,0.040223976,,
47,235,38.01,0.76,0.772,0.040120038,,
48,240,38.79,0.78,0.772,0.040120038,,
49,245,39.56,0.77,0.772,0.040120038,,
50,250,40.34,0.78,0.774,0.040223976,,
51,255,41.11,0.77,0.772,0.040120038,,
52,260,41.88,0.77,0.772,0.040120038,,
53,265,42.65,0.77,0.766,0.039808224,,
54,270,43.42,0.77,0.766,0.039808224,,
55,275,44.17,0.75,0.768,0.039912162,,
56,280,44.94,0.77,0.768,0.039912162,,
57,285,45.72,0.78,0.764,0.039704286,,
58,290,46.49,0.77,0.768,0.039912162,,
59,295,47.24,0.75,0.768,0.039912162,,
60,300,48.01,0.77,0.762,0.039600348,,
61,305,48.78,0.77,0.762,0.039600348,,
62,310,49.53,0.75,0.758,0.039392472,,
63,315,50.3,0.77,0.756,0.039288535,,
64,320,51.03,0.73,0.752,0.039080659,,
65,325,51.79,0.76,0.754,0.039184597,,
66,330,52.54,0.75,0.75,0.038976721,,
67,335,53.3,0.76,0.754,0.039184597,,
68,340,54.05,0.75,0.754,0.039184597,,
69,345,54.8,0.75,0.752,0.039080659,,
70,350,55.56,0.76,0.752,0.039080659,,
71,355,56.3,0.74,0.75,0.038976721,,
72,360,57.06,0.76,0.75,0.038976721,,
73,365,57.8,0.74,0.748,0.038872783,,
74,370,58.55,0.75,0.75,0.038976721,,
75,375,59.3,0.75,0.75,0.038976721,,
76,380,60.05,0.75,0.75,0.038976721,,
77,385,60.81,0.76,0.75,0.038976721,,
78,390,61.55,0.74,0.752,0.039080659,,
79,395,62.3,0.75,0.752,0.039080659,,
80,400,63.06,0.76,0.746,0.038768845,,
81,405,63.81,0.75,0.744,0.038664907,,
82,410,64.54,0.73,0.744,0.038664907,,
83,415,65.27,0.73,0.742,0.038560969,,
84,420,66.02,0.75,0.74,0.038457031,,
85,425,66.77,0.75,0.742,0.038560969,,
86,430,67.51,0.74,0.746,0.038768845,,
87,435,68.25,0.74,0.744,0.038664907,,
88,440,69,0.75,0.742,0.038560969,,
89,445,69.74,0.74,0.742,0.038560969,,
90,450,70.48,0.74,0.742,0.038560969,,
91,455,71.22,0.74,0.736,0.038249155,,
92,460,71.96,0.74,0.736,0.038249155,,
93,465,72.68,0.72,0.732,0.038041279,,
94,470,73.42,0.74,0.732,0.038041279,,
95,475,74.14,0.72,0.73,0.037937342,,
96,480,74.88,0.74,0.732,0.038041279,,
97,485,75.61,0.73,0.732,0.038041279,,
98,490,76.34,0.73,0.736,0.038249155,,
99,495,77.08,0.74,0.734,0.038145217,,
100,500,77.82,0.74,0.73,0.037937342,,
101,505,78.55,0.73,0.728,0.037833404,,
102,510,79.26,0.71,0.728,0.037833404,,
103,515,79.98,0.72,0.726,0.037729466,,
104,520,80.72,0.74,0.728,0.037833404,,
105,525,81.45,0.73,0.732,0.038041279,,
106,530,82.19,0.74,0.734,0.038145217,,
107,535,82.92,0.73,0.728,0.037833404,,
108,540,83.65,0.73,0.73,0.037937342,,
109,545,84.36,0.71,0.726,0.037729466,,
110,550,85.1,0.74,0.726,0.037729466,,
111,555,85.82,0.72,0.724,0.037625528,,
112,560,86.55,0.73,0.722,0.03752159,,
113,565,87.27,0.72,0.718,0.037313714,,
114,570,87.97,0.7,0.718,0.037313714,,
115,575,88.69,0.72,0.714,0.037105838,,
116,580,89.41,0.72,0.716,0.037209776,,
117,585,90.12,0.71,0.72,0.037417652,,
118,590,90.85,0.73,0.722,0.03752159,,
119,595,91.57,0.72,0.72,0.037417652,,
120,600,92.3,0.73,0.722,0.03752159,,
121,605,93.01,0.71,0.72,0.037417652,,
122,610,93.73,0.72,0.718,0.037313714,,
123,615,94.45,0.72,0.716,0.037209776,,
124,620,95.16,0.71,0.716,0.037209776,,
125,625,95.88,0.72,0.708,0.036794024,,
126,630,96.59,0.71,0.712,0.0370019,,
127,635,97.27,0.68,0.712,0.0370019,,
128,640,98.01,0.74,0.71,0.036897962,,
129,645,98.72,0.71,0.708,0.036794024,,
130,650,99.43,0.71,0.716,0.037209776,,
131,655,100.13,0.7,0.708,0.036794024,,
132,660,100.85,0.72,0.71,0.036897962,,
133,665,101.55,0.7,0.71,0.036897962,,
134,670,102.27,0.72,0.708,0.036794024,,
135,675,102.98,0.71,0.704,0.036586149,,
136,680,103.67,0.69,0.704,0.036586149,,
137,685,104.37,0.7,0.706,0.036690086,,
138,690,105.07,0.7,0.704,0.036586149,,
139,695,105.8,0.73,0.706,0.036690086,,
140,700,106.5,0.7,0.706,0.036690086,,
141,705,107.2,0.7,0.706,0.036690086,,
142,710,107.9,0.7,0.706,0.036690086,,
143,715,108.6,0.7,0.7,0.036378273,,
144,720,109.33,0.73,0.698,0.036274335,,
145,725,110,0.67,0.698,0.036274335,,
146,730,110.69,0.69,0.702,0.036482211,,
147,735,111.39,0.7,0.696,0.036170397,,
148,740,112.11,0.72,0.7,0.036378273,,
149,745,112.81,0.7,0.7,0.036378273,,
150,750,113.5,0.69,0.704,0.036586149,,
151,755,114.19,0.69,0.696,0.036170397,,
152,760,114.91,0.72,0.692,0.035962521,,
153,765,115.59,0.68,0.696,0.036170397,,
154,770,116.27,0.68,0.7,0.036378273,,
155,775,116.98,0.71,0.692,0.035962521,,
156,780,117.69,0.71,0.694,0.036066459,,
157,785,118.37,0.68,0.698,0.036274335,,
158,790,119.06,0.69,0.694,0.036066459,,
159,795,119.76,0.7,0.69,0.035858583,,
160,800,120.45,0.69,0.692,0.035962521,,
161,805,121.14,0.69,0.694,0.036066459,,
162,810,121.83,0.69,0.692,0.035962521,,
163,815,122.53,0.7,0.69,0.035858583,,
164,820,123.22,0.69,0.69,0.035858583,,
165,825,123.9,0.68,0.688,0.035754645,,
166,830,124.59,0.69,0.684,0.035546769,,
167,835,125.27,0.68,0.686,0.035650707,,
168,840,125.95,0.68,0.688,0.035754645,,
169,845,126.65,0.7,0.686,0.035650707,,
170,850,127.34,0.69,0.69,0.035858583,,
171,855,128.02,0.68,0.69,0.035858583,,
172,860,128.72,0.7,0.686,0.035650707,,
173,865,129.4,0.68,0.684,0.035546769,,
174,870,130.08,0.68,0.686,0.035650707,,
175,875,130.76,0.68,0.684,0.035546769,,
176,880,131.45,0.69,0.684,0.035546769,,
177,885,132.14,0.69,0.682,0.035442831,,
178,890,132.82,0.68,0.686,0.035650707,,
179,895,133.49,0.67,0.684,0.035546769,,
180,900,134.19,0.7,0.682,0.035442831,,
181,905,134.87,0.68,0.684,0.035546769,,
182,910,135.55,0.68,0.684,0.035546769,,
183,915,136.24,0.69,0.676,0.035131018,,
184,920,136.91,0.67,0.68,0.035338893,,
185,925,137.57,0.66,0.68,0.035338893,,
186,930,138.27,0.7,0.676,0.035131018,,
187,935,138.95,0.68,0.678,0.035234956,,
188,940,139.62,0.67,0.678,0.035234956,,
189,945,140.3,0.68,0.676,0.035131018,,
190,950,140.96,0.66,0.674,0.03502708,,
191,955,141.65,0.69,0.678,0.035234956,,
192,960,142.32,0.67,0.678,0.035234956,,
193,965,143.01,0.69,0.678,0.035234956,,
194,970,143.69,0.68,0.678,0.035234956,,
195,975,144.35,0.66,0.674,0.03502708,,
196,980,145.04,0.69,0.674,0.03502708,,
197,985,145.69,0.65,0.67,0.034819204,,
198,990,146.38,0.69,0.672,0.034923142,,
199,995,147.04,0.66,0.67,0.034819204,,
200,1000,147.71,0.67,0.672,0.034923142,,
201,1005,148.39,0.68,0.674,0.03502708,,
202,1010,149.05,0.66,0.674,0.03502708,,
203,1015,149.75,0.7,0.672,0.034923142,,
204,1020,150.41,0.66,0.67,0.034819204,,
205,1025,151.07,0.66,0.672,0.034923142,,
206,1030,151.74,0.67,0.666,0.034611328,,
207,1035,152.41,0.67,0.664,0.03450739,,
208,1040,153.08,0.67,0.672,0.034923142,,
209,1045,153.73,0.65,0.668,0.034715266,,
210,1050,154.43,0.7,0.67,0.034819204,,
211,1055,155.08,0.65,0.668,0.034715266,,
212,1060,155.76,0.68,0.674,0.03502708,,
213,1065,156.42,0.66,0.662,0.034403452,,
214,1070,157.1,0.68,0.668,0.034715266,,
215,1075,157.74,0.64,0.662,0.034403452,,
216,1080,158.42,0.68,0.666,0.034611328,,
217,1085,159.07,0.65,0.66,0.034299514,,
218,1090,159.75,0.68,0.668,0.034715266,,
219,1095,160.4,0.65,0.662,0.034403452,,
220,1100,161.08,0.68,0.668,0.034715266,,
221,1105,161.73,0.65,0.662,0.034403452,,
222,1110,162.41,0.68,0.666,0.034611328,,
223,1115,163.06,0.65,0.66,0.034299514,,
224,1120,163.73,0.67,0.666,0.034611328,,
225,1125,164.38,0.65,0.66,0.034299514,,
226,1130,165.06,0.68,0.664,0.03450739,,
227,1135,165.71,0.65,0.66,0.034299514,,
228,1140,166.38,0.67,0.66,0.034299514,,
229,1145,167.03,0.65,0.652,0.033883763,,
230,1150,167.68,0.65,0.658,0.034195576,,
231,1155,168.32,0.64,0.656,0.034091638,,
232,1160,169,0.68,0.658,0.034195576,,
233,1165,169.66,0.66,0.662,0.034403452,,
234,1170,170.32,0.66,0.662,0.034403452,,
235,1175,170.99,0.67,0.66,0.034299514,,
236,1180,171.63,0.64,0.656,0.034091638,,
237,1185,172.3,0.67,0.656,0.034091638,,
238,1190,172.94,0.64,0.652,0.033883763,,
239,1195,173.6,0.66,0.654,0.033987701,,
240,1200,174.25,0.65,0.652,0.033883763,,
241,1205,174.9,0.65,0.654,0.033987701,,
242,1210,175.56,0.66,0.656,0.034091638,,
243,1215,176.21,0.65,0.654,0.033987701,,
244,1220,176.88,0.67,0.656,0.034091638,,
245,1225,177.52,0.64,0.658,0.034195576,,
246,1230,178.18,0.66,0.652,0.033883763,,
247,1235,178.85,0.67,0.65,0.033779825,,
248,1240,179.47,0.62,0.652,0.033883763,,
249,1245,180.13,0.66,0.65,0.033779825,,
250,1250,180.78,0.65,0.648,0.033675887,,
251,1255,181.43,0.65,0.652,0.033883763,,
252,1260,182.09,0.66,0.652,0.033883763,,
253,1265,182.73,0.64,0.652,0.033883763,,
254,1270,183.39,0.66,0.648,0.033675887,,
255,1275,184.04,0.65,0.646,0.033571949,,
256,1280,184.67,0.63,0.648,0.033675887,,
257,1285,185.32,0.65,0.646,0.033571949,,
258,1290,185.97,0.65,0.646,0.033571949,,
259,1295,186.62,0.65,0.648,0.033675887,,
260,1300,187.27,0.65,0.65,0.033779825,,
261,1305,187.91,0.64,0.65,0.033779825,,
262,1310,188.57,0.66,0.648,0.033675887,,
263,1315,189.22,0.65,0.648,0.033675887,,
264,1320,189.86,0.64,0.65,0.033779825,,
265,1325,190.51,0.65,0.644,0.033468011,,
266,1330,191.16,0.65,0.644,0.033468011,,
267,1335,191.79,0.63,0.646,0.033571949,,
268,1340,192.44,0.65,0.64,0.033260135,,
269,1345,193.09,0.65,0.642,0.033364073,,
270,1350,193.71,0.62,0.648,0.033675887,,
271,1355,194.37,0.66,0.642,0.033364073,,
272,1360,195.03,0.66,0.642,0.033364073,,
273,1365,195.65,0.62,0.648,0.033675887,,
274,1370,196.3,0.65,0.642,0.033364073,,
275,1375,196.95,0.65,0.638,0.033156197,,
276,1380,197.58,0.63,0.646,0.033571949,,
277,1385,198.22,0.64,0.638,0.033156197,,
278,1390,198.88,0.66,0.638,0.033156197,,
279,1395,199.49,0.61,0.642,0.033364073,,
280,1400,200.14,0.65,0.634,0.032948321,,
281,1405,200.79,0.65,0.634,0.032948321,,
282,1410,201.39,0.6,0.638,0.033156197,,
283,1415,202.05,0.66,0.63,0.032740445,,
284,1420,202.68,0.63,0.626,0.03253257,,
285,1425,203.29,0.61,0.63,0.032740445,,
