No.,Time (s),Cumulative Volume (mL),Individual Volume (per 5 s),Average Individual Volume (per 5 s),Actual Flux,,Membrane Pore Size
0,0,0,0,0,0.050409892,,0.97
1,5,0.35,0.35,0.35,0.018189136,,
2,10,1.33,0.98,0.98,0.050929582,,
3,15,2.28,0.95,0.808,0.04199092,,
4,20,3.19,0.91,0.916,0.047603568,,
5,25,4.04,0.85,0.896,0.046564189,,
6,30,4.93,0.89,0.87,0.045212996,,
7,35,5.81,0.88,0.856,0.044485431,,
8,40,6.63,0.82,0.854,0.044381493,,
9,45,7.47,0.84,0.834,0.043342113,,
10,50,8.31,0.84,0.828,0.0430303,,
11,55,9.1,0.79,0.826,0.042926362,,
12,60,9.95,0.85,0.816,0.042406672,,
13,65,10.76,0.81,0.808,0.04199092,,
14,70,11.55,0.79,0.808,0.04199092,,
15,75,12.35,0.8,0.794,0.041263355,,
16,80,13.14,0.79,0.778,0.040431852,,
17,85,13.92,0.78,0.77,0.0400161,,
18,90,14.65,0.73,0.768,0.039912162,,
19,95,15.4,0.75,0.76,0.03949641,,
20,100,16.19,0.79,0.754,0.039184597,,
21,105,16.94,0.75,0.76,0.03949641,,
22,110,17.69,0.75,0.754,0.039184597,,
23,115,18.45,0.76,0.742,0.038560969,,
24,120,19.17,0.72,0.74,0.038457031,,
25,125,19.9,0.73,0.742,0.038560969,,
26,130,20.64,0.74,0.736,0.038249155,,
27,135,21.4,0.76,0.734,0.038145217,,
28,140,22.13,0.73,0.726,0.037729466,,
29,145,22.84,0.71,0.726,0.037729466,,
30,150,23.53,0.69,0.722,0.03752159,,
31,155,24.27,0.74,0.712,0.0370019,,
32,160,25.01,0.74,0.708,0.036794024,,
33,165,25.69,0.68,0.716,0.037209776,,
34,170,26.38,0.69,0.708,0.036794024,,
35,175,27.11,0.73,0.696,0.036170397,,
36,180,27.81,0.7,0.706,0.036690086,,
37,185,28.49,0.68,0.702,0.036482211,,
38,190,29.22,0.73,0.696,0.036170397,,
39,195,29.89,0.67,0.69,0.035858583,,
40,200,30.59,0.7,0.686,0.035650707,,
41,205,31.26,0.67,0.684,0.035546769,,
42,210,31.92,0.66,0.686,0.035650707,,
43,215,32.64,0.72,0.69,0.035858583,,
44,220,33.32,0.68,0.688,0.035754645,,
45,225,34.04,0.72,0.69,0.035858583,,
46,230,34.7,0.66,0.686,0.035650707,,
47,235,35.37,0.67,0.68,0.035338893,,
48,240,36.07,0.7,0.668,0.034715266,,
49,245,36.72,0.65,0.67,0.034819204,,
50,250,37.38,0.66,0.668,0.034715266,,
51,255,38.05,0.67,0.656,0.034091638,,
52,260,38.71,0.66,0.666,0.034611328,,
53,265,39.35,0.64,0.658,0.034195576,,
54,270,40.05,0.7,0.652,0.033883763,,
55,275,40.67,0.62,0.662,0.034403452,,
56,280,41.31,0.64,0.658,0.034195576,,
57,285,42.02,0.71,0.648,0.033675887,,
58,290,42.64,0.62,0.656,0.034091638,,
59,295,43.29,0.65,0.66,0.034299514,,
60,300,43.95,0.66,0.65,0.033779825,,
61,305,44.61,0.66,0.648,0.033675887,,
62,310,45.27,0.66,0.646,0.033571949,,
63,315,45.88,0.61,0.644,0.033468011,,
64,320,46.52,0.64,0.646,0.033571949,,
65,325,47.17,0.65,0.638,0.033156197,,
66,330,47.84,0.67,0.644,0.033468011,,
67,335,48.46,0.62,0.642,0.033364073,,
68,340,49.1,0.64,0.64,0.033260135,,
69,345,49.73,0.63,0.638,0.033156197,,
70,350,50.37,0.64,0.638,0.033156197,,
71,355,51.03,0.66,0.64,0.033260135,,
72,360,51.65,0.62,0.636,0.033052259,,
73,365,52.3,0.65,0.644,0.033468011,,
74,370,52.91,0.61,0.638,0.033156197,,
75,375,53.59,0.68,0.632,0.032844383,,
76,380,54.22,0.63,0.628,0.032636508,,
77,385,54.81,0.59,0.628,0.032636508,,
